nama_muzakki,email,telepon,alamat,kode_provinsi,kode_kabupaten,jenis_hewan,jumlah_hewan,nilai_qurban,tanggal_penyerahan,status,catatan
Ahmad Subekti,ahmad.subekti@email.com,08123456701,Jl. Raya Gubeng No. 15 Surabaya,35,3578,sapi,1,5500000,2025-06-17,submitted,Qurban sapi untuk keluarga
Fatimah Zahra,fatimah.zahra@email.com,08123456702,Perumahan Griya Gresik Jl. Mawar No. 22,35,3525,kambing,2,3500000,2025-06-17,submitted,Qurban kambing bersama suami
Budi Santoso,budi.santoso@email.com,08123456703,Jl. Diponegoro No. 45 Sidoarjo,35,3515,domba,1,2500000,2025-06-17,submitted,Qurban domba untuk anak yatim
Siti Nurhaliza,siti.nurhaliza@email.com,08123456704,Kampung Malang Kota RT 05 RW 02,35,3573,sapi,1,5500000,2025-06-17,submitted,Qurban sapi atas nama keluarga besar
Umar bin Khattab,umar.khattab@email.com,08123456705,Jakarta Selatan Kebayoran Baru,31,3171,kambing,1,2000000,2025-06-17,submitted,Qurban kambing untuk tetangga
Khadijah binti Ahmad,khadijah.ahmad@email.com,08123456706,Jakarta Timur Cakung RT 08 RW 03,31,3172,sapi,2,11000000,2025-06-17,submitted,Qurban sapi bersama keluarga
Ali bin Abi Thalib,ali.thalib@email.com,08123456707,Jl. Sudirman No. 88 Jakarta Pusat,31,3173,domba,3,7500000,2025-06-17,submitted,Qurban domba untuk masjid
Hafsah Ummu Mukminin,hafsah.mukminin@email.com,08123456708,Jakarta Barat Grogol Petamburan,31,3174,kambing,1,2200000,2025-06-17,submitted,Qurban kambing sedekah
Zaid bin Haritsah,zaid.haritsah@email.com,08123456709,Jakarta Utara Kelapa Gading Mall,31,3175,sapi,1,6000000,2025-06-17,submitted,Qurban sapi premium halal
Aisyah Radhiyallahu Anha,aisyah.radhi@email.com,08123456710,Bogor Kota Jl. Pajajaran No. 99,32,3271,kambing,2,4000000,2025-06-17,submitted,Qurban kambing untuk fakir miskin
Khalid bin Walid,khalid.walid@email.com,08123456711,Bandung Kota Jl. Asia Afrika,32,3273,domba,1,2800000,2025-06-17,submitted,Qurban domba berkualitas
Ummu Salamah,ummu.salamah@email.com,08123456712,Depok Kota Margonda Raya,32,3276,sapi,1,5800000,2025-06-17,submitted,Qurban sapi untuk keluarga
Saad bin Abi Waqqash,saad.waqqash@email.com,08123456713,Bekasi Kota Jl. Ahmad Yani,32,3275,kambing,1,2100000,2025-06-17,submitted,Qurban kambing lokal
Abdullah bin Umar,abdullah.umar@email.com,08123456714,Semarang Kota Simpang Lima,33,3374,domba,2,5000000,2025-06-17,submitted,Qurban domba gemuk
Ruqayyah binti Rasulullah,ruqayyah.rasul@email.com,08123456715,Yogyakarta Kota Malioboro Street,34,3471,sapi,1,5700000,2025-06-17,submitted,Qurban sapi kurban berkah 
Rifyal,test@email.com,081118820202,Lumajang,34,3471,sapi,1,5700000,2025-06-17,submitted,Qurban sapi kurban berkah 
rachmat,rachmat@email.com,081118820202,jawatimur,34,3471,kambing,1,5700000,2025-06-17,submitted,Qurban sapi kurban berkah 
